"Species","Species_Label","Node","Reach","Critial_XS_Position","Seasonal.Component","Current_Suitability","Lower_Limit","Upper_Limit","Probability_Threshold","Designation","Duration_Days","Timing_Start_WYDay","Timing_End_WYDay","metric","notes"
"Current Flow","Current Flow","GLEN","LAR 5 - Glendale Narrows",NA,"Summer Baseflow",NA,"72.56235","89.414075",NA,NA,NA,NA,NA,"DS_Mag_50",""
"Current Flow","Current Flow","GLEN","LAR 5 - Glendale Narrows",NA,"Summer Baseflow",NA,"80.29855","95.77261",NA,NA,NA,NA,NA,"DS_Mag_90",""
"Current Flow","Current Flow","GLEN","LAR 5 - Glendale Narrows",NA,"Winter Baseflow",NA,"73.788265","104.284365",NA,NA,NA,NA,NA,"Wet_BFL_Mag_10",""
"Current Flow","Current Flow","GLEN","LAR 5 - Glendale Narrows",NA,"Winter Baseflow",NA,"83.45125","131.22035",NA,NA,NA,NA,NA,"Wet_BFL_Mag_50",""
"Current Flow","Current Flow","GLEN","LAR 5 - Glendale Narrows",NA,"Winter Peak Flows",NA,"3674.5249","9249.15782",NA,NA,NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Growth","Willow Growth","LA20 2","LAR 10 - Upstream Reach","Overbank","Summer Baseflow","suitable","1","1646","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","LA14","LAR 7 - Below Burbank","Overbank","Summer Baseflow","suitable","8","841","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","GLEN","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","23","595","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","LA11","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","25","844","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","F57C","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","26","91","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","11101250","Rio Hondo 2 - Above Spreading Grounds","Overbank","Summer Baseflow","suitable","1","114","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","F37B Low","Compton Creek","Overbank","Summer Baseflow","unsuitable","10","301","Medium","Existing",182,183,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","LA20_2","LAR 10 - Upstream Reach","Overbank","Summer Baseflow","suitable","1","20589","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","LA14","LAR 7 - Below Burbank","Overbank","Summer Baseflow","suitable","8","39231","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","GLEN","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","23","40590","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","LA11","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","25","40888","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","F57C","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","26","41750","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","11101250","Rio Hondo 2 - Above Spreading Grounds","Overbank","Summer Baseflow","suitable","1","8327","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","F37B Low","Compton Creek","Overbank","Summer Baseflow","unsuitable","8","3369","Medium","Existing",365,1,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","LA20 2","LAR 10 - Upstream Reach","Overbank","Summer Baseflow","suitable","1","1502","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","LA14","LAR 7 - Below Burbank","Overbank","Summer Baseflow","suitable","8","655","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","GLEN","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","23","256","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","LA11","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","suitable","25","666","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","F57C","LAR 5 - Glendale Narrows","Overbank","Summer Baseflow","unsuitable","26","42","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","11101250","Rio Hondo 2 - Above Spreading Grounds","Overbank","Summer Baseflow","suitable","1","86","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Growth","Willow Growth","F37B Low","Compton Creek","Overbank","Summer Baseflow","unsuitable","10","298","High","Existing",182,183,365,"DS_Mag_50",""
"Willow - Adult","Willow Adult","LA20_2","LAR 10 - Upstream Reach","Overbank","Winter Baseflow","suitable","1","20589",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","LA14","LAR 7 - Below Burbank","Overbank","Winter Baseflow","suitable","8","39231",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","GLEN","LAR 5 - Glendale Narrows","Overbank","Winter Baseflow","suitable","23","40590",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","LA11","LAR 5 - Glendale Narrows","Overbank","Winter Baseflow","suitable","25","40888",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","F57C","LAR 5 - Glendale Narrows","Overbank","Winter Baseflow","suitable","26","41750",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","11101250","Rio Hondo 2 - Above Spreading Grounds","Overbank","Winter Baseflow","suitable","1","8327",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","F37B Low","Compton Creek","Overbank","Winter Baseflow","unsuitable","8","3369",NA,"Existing",365,1,365,"Wet_BFL_Mag_10",""
"Willow - Adult","Willow Adult","LA20_2","LAR 10 - Upstream Reach","Overbank","Winter Peak Flows","suitable","0","20589",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Adult","Willow Adult","LA14","LAR 7 - Below Burbank","Overbank","Winter Peak Flows","suitable","0","39231",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Adult","Willow Adult","GLEN","LAR 5 - Glendale Narrows","Overbank","Winter Peak Flows","suitable","0","40590",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Adult","Willow Adult","LA11","LAR 5 - Glendale Narrows","Overbank","Winter Peak Flows","suitable","0","40888",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Adult","Willow Adult","F57C","LAR 5 - Glendale Narrows","Overbank","Winter Peak Flows","suitable","0","41750",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Adult","Willow Adult","11101250","Rio Hondo 2 - Above Spreading Grounds","Overbank","Winter Peak Flows","suitable","0","8327",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Willow - Adult","Willow Adult","F37B Low","Compton Creek","Overbank","Winter Peak Flows","suitable","0","3369",NA,"Existing",NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Prolonged)","LA20","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow","unsuitable","16","3091",NA,"Future",90,183,273,"DS_Mag_50",""
