"Scenario","Tillman","Burbank","Glendale","Avg_Q_cfs","Med_Q_cfs","dry_season","wet_season","spring"
1,66.1645201,96.409345,76.20372127,51.33,52.92,48.84212404,54.68421228,49.88919406
2,63.56161491,47.24531216,32.71114295,38.29,39.17,37.2535616,39.79031956,37.58140751
3,74.46897451,52.22974946,31.30711869,43.37,44.29,42.35048652,44.8866749,42.63778236
4,2.053500479,20.34388715,67.25831293,14.36,15.37,12.57703908,16.55309744,13.4544646
5,64.60732126,53.1307796,97.20674523,50.44,52.26,47.80821103,53.88108166,48.921845
6,29.72173854,85.64449297,48.24376709,29.23,30.21,27.41734684,31.65144269,28.23858642
7,44.36570457,91.69538384,84.33496663,42.57,44.15,39.86943946,46.10238488,41.08357702
8,15.55980945,63.4796974,77.03565373,25.92,27.2,23.56331903,28.90609233,24.68837592
9,47.54595787,45.81253577,62.61768956,36.17,37.39,34.39098449,38.524922,35.13411438
10,67.63567976,98.10868585,60.61800739,49.44,50.82,47.31694678,52.36398532,48.18053526
11,87.01231889,37.71857093,24.27582038,46.48,47.35,45.78434454,47.61817938,45.87244333
12,59.12782711,44.51756331,6.7642977,31.57,32.05,31.17306309,32.29024717,31.20001306
13,69.27322517,47.17844399,46.18174657,43.17,44.27,41.82569105,45.06023296,42.28900208
14,8.006418473,88.65880775,19.2767581,14.77,15.22,13.57123655,16.38804747,14.15319604
15,50.51861119,62.99704728,88.01569857,43.42,45.04,40.88937058,46.71367465,41.99611076
16,50.79577586,31.22254224,74.64519406,38.42,39.8,36.47807576,40.94223108,37.2864797
17,57.41872007,30.92264014,62.83792795,39.31,40.56,37.67387534,41.48895076,38.31328932
18,41.2516562,37.17792388,12.10318967,23.85,24.3,23.33883897,24.6349491,23.4718749
19,58.59862987,38.07485497,74.11141901,42.42,43.85,40.45748095,45.01348639,41.25680043
20,30.15655451,24.83555328,13.98927686,18.11,18.51,17.64040033,18.81241348,17.78836951
21,67.33561044,31.57244578,35.33959365,39.04,39.96,38.08887524,40.43416337,38.3636656
